filter_name;lab;shelf;name_en;name_it;weight;unit;producer;quantity;code;cas;sds;sds_link
B;1.12;4;BENEDICTS REAGENT;REAGENTE DI BENEDICT;250;ml;SIGMA-ALDRICH;1;11945;;https://www.sigmaaldrich.com/IT/en/sds/sial/11945;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/11945)
B;1.12;4;BENZOIC ACID ACS REAGENT;;100;g;SIGMA ALDRICH;1;242381-100g;;https://www.sigmaaldrich.com/IT/en/sds/sial/242381;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/242381)
B;1.12;4;BIURET PROTEIN ASSAY REAGENT;;500;ml;AMRESCO;2;;;;[SDS]()
B;1.12;4;BROMOPHENOL BLUE ;;25;g;SIGMA ALDRICH;1;B0126-25G;;https://www.sigmaaldrich.com/IT/en/sds/sial/b0126;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/b0126)
B;1.12;4;BROMOTHYMOL BLUE ;;5;g;SIGMA ALDRICH;1;;;https://www.sigmaaldrich.com/IT/en/sds/mm/1.03026;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/1.03026)
B;1.12;4;BUTYLATED HYDROXYTOLUENE;;1;kg;SIGMA-ALDRICH;1;;;https://www.sigmaaldrich.com/IT/en/sds/usp/1082708;[SDS](https://www.sigmaaldrich.com/IT/en/sds/usp/1082708)
C;1.12;4;CARMINIO ACETICO;CARMINIO ACETICO;150;ml;BioOptica;1;;;;[SDS]()
C;1.12;4;CITRIC ACID;ACIDO CITRICO;1;Kg;SIGMA-ALDRICH;1;C0759-100G;77-92-9;https://www.sigmaaldrich.com/IT/en/sds/sial/c0759;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/c0759)
E;1.12;4;EPICATECHIN;;1;g;SIGMA-ALDRICH;1;E1753;;https://www.sigmaaldrich.com/IT/en/sds/sigma/e1753;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/e1753)
E;1.12;4;ERIOCHROME BLACK T;NERO ERIOCROMO T;25;g;FLUKA;1;32751;1787-61-7;https://www.sigmaaldrich.com/IT/en/sds/mm/1.03170;[SDS](https://www.sigmaaldrich.com/IT/en/sds/mm/1.03170)
F;1.12;4;FEHLING'S REAGENT I FOR SUGARS;REAGENTE DI FEHLING I;500;ml;FLUKA;1;36018;7758-98-7;https://www.sigmaaldrich.com/IT/en/sds/sial/36018;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sial/36018)
F;1.12;4;FEHLING'S REAGENT II FOR SUGARS;REAGENTE DI FEHLING II;500;ml;FLUKA;1;36019;;https://lab.honeywell.com/sm/api/rc/documents/download/36019-500ML_SDS_GB_E?appId=76&catNo=36019-500ML&matnr=10194053&lang=E&country=GB&type=SDS;[SDS](https://lab.honeywell.com/sm/api/rc/documents/download/36019-500ML_SDS_GB_E?appId=76&catNo=36019-500ML&matnr=10194053&lang=E&country=GB&type=SDS)
F;1.12;4;FOLIN & CIOCALTEU PHENOL REAGENT;REAGENTE FOLIN & CIOCALTEU FENOLO;100;ml;SIGMA-ALDRICH;2;47641;;https://www.sigmaaldrich.com/IT/en/sds/sigma/47641;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/47641)
F;1.12;4;FOLIN & CIOCALTEU PHENOL REAGENT;REAGENTE FOLIN & CIOCALTEU FENOLO;500;ml;VWR;1;31360.264;;;[SDS]()
G;1.12;4;GALLIC ACID;ACIDO GALLICO;100;g;SIGMA-ALDRICH;1;G7384;149-91-7;https://www.sigmaaldrich.com/IT/en/sds/sigma/g7384;[SDS](https://www.sigmaaldrich.com/IT/en/sds/sigma/g7384)
G;1.12;4;GLUTAMIC ACID;;100;g;SIGMA-ALDRICH;1;;;;
